Compensation,Log(sales),Stock return,Volatility,Board size,Fraction of female,Fraction of independent,Gender,Age,Tenure,Number of other directorship,Retired
597.7779956,16.05847416,0.503737282,2.011101499,7,0.285714286,0.142857143,1,59,3,0,1
758.3642116,16.05847416,0.503737282,2.011101499,7,0.285714286,0.142857143,1,58,13,2,1
458.1069336,16.05847416,0.503737282,2.011101499,7,0.285714286,0.142857143,0,57,18,3,1
327.7136997,16.05847416,0.503737282,2.011101499,7,0.285714286,0.142857143,0,71,12,0,1
433.986229,16.05847416,0.503737282,2.011101499,7,0.285714286,0.142857143,0,63,6,3,1
330.005352,16.05847416,0.503737282,2.011101499,7,0.285714286,0.142857143,0,68,14,4,0
317.8896186,16.05847416,0.503737282,2.011101499,7,0.285714286,0.142857143,0,67,22,1,0
540.9492515,15.87696407,-1.061947884,1.679613977,7,0.142857143,0,1,58,8,3,0
636.2986535,15.87696407,-1.061947884,1.679613977,7,0.142857143,0,0,54,18,1,0
300.3137626,15.87696407,-1.061947884,1.679613977,7,0.142857143,0,0,65,27,2,0
562.0709562,15.87696407,-1.061947884,1.679613977,7,0.142857143,0,0,60,22,0,0
445.8306832,15.87696407,-1.061947884,1.679613977,7,0.142857143,0,0,72,21,3,1
324.1381694,15.87696407,-1.061947884,1.679613977,7,0.142857143,0,0,58,0,1,0
200.6979414,15.87696407,-1.061947884,1.679613977,7,0.142857143,0,0,73,32,1,1
1035.16052,16.05794117,0.683993799,1.648517183,11,0.545454545,0.090909091,1,52,8,0,1
291.0041515,16.05794117,0.683993799,1.648517183,11,0.545454545,0.090909091,1,69,17,0,1
853.2921384,16.05794117,0.683993799,1.648517183,11,0.545454545,0.090909091,1,46,4,0,1
640.5954865,16.05794117,0.683993799,1.648517183,11,0.545454545,0.090909091,1,67,13,0,1
320.5835797,16.05794117,0.683993799,1.648517183,11,0.545454545,0.090909091,1,66,1,1,0
561.6437107,16.05794117,0.683993799,1.648517183,11,0.545454545,0.090909091,1,59,18,2,0
647.0375826,16.05794117,0.683993799,1.648517183,11,0.545454545,0.090909091,0,67,19,1,1
223.9006351,16.05794117,0.683993799,1.648517183,11,0.545454545,0.090909091,0,55,16,4,1
432.2010345,16.05794117,0.683993799,1.648517183,11,0.545454545,0.090909091,0,64,6,2,1
889.3638222,16.05794117,0.683993799,1.648517183,11,0.545454545,0.090909091,0,64,17,1,1
311.5222322,16.05794117,0.683993799,1.648517183,11,0.545454545,0.090909091,0,56,0,2,1
189.6833554,15.75055789,-0.415832612,2.186415548,7,0.571428571,0.142857143,1,64,14,3,0
